# 記事にするキーワードのリスト
#
# 書き方:  キーワード | カテゴリ | 関連語をカンマ区切り
#   - 上から順に1本ずつ記事化されます
#   - 「関連語」は、あなたのSNS投稿の中から関連する体験を探すために使います
#     ここが的外れだと体験が拾えないので、実際に投稿で使っている言葉を入れてください
#   - #で始まる行は無視されます
#   - 自由に追加・並び替えしてOKです
#
# ---- 方針 ----
# A) 全国向けの悩み系 = 検索数が多い。広告収益の柱になる
# B) 鹿児島ローカル   = 検索数は少ないが競合が弱く、実体験で確実に勝てる。初期の実績づくり用
# C) 肉まわり         = 肉の寺師のECへの導線にもなる
# AとBを交互に消化していく並びにしてあります

# 以下、サウナ→食→旅の順に巡回します。カテゴリーが偏らないようにするための並びです。
# すでに書いた記事のキーワードは data/state.json に記録されており、重複しません。

# ---- 1巡目 ----
もつ鍋 作り方 コツ | C 食 | もつ鍋,もつ,ホルモン,鍋,スープ,ちゃんぽん
鹿児島 観光 モデルコース 1泊2日 | B 旅 | 鹿児島,観光,桜島,天文館,指宿,霧島,旅
サウナ 週何回 頻度 | A サウナ | 頻度,週,毎日,サウナ,通う

# ---- 2巡目 ----
生餃子 焼き方 パリッと | C 食 | 餃子,焼き方,羽根,フライパン,冷凍
一人旅 ホテル 選び方 | A 旅 | 一人旅,ホテル,宿,素泊まり,予約
サウナ 旅 一人 楽しみ方 | A サウナ | サ旅,一人,旅,サウナ,遠征

# ---- 3巡目 ----
豚バラ しゃぶしゃぶ 温度 | C 食 | 豚しゃぶ,豚バラ,しゃぶしゃぶ,温度,茹で
指宿 砂むし温泉 混雑 | B 旅 | 指宿,砂むし,砂蒸し,温泉,待ち
サウナ 整う 意味 感覚 | A サウナ | ととのう,整う,感覚,サウナ,外気浴

# ---- 4巡目 ----
もつ鍋 締め ちゃんぽん | C 食 | もつ鍋,締め,ちゃんぽん,麺,雑炊
桜島 フェリー 乗り方 料金 | B 旅 | 桜島,フェリー,乗り方,料金,車
サウナ マナー 初心者 | A サウナ | マナー,初心者,サウナ,タオル,かけ湯

# ---- 5巡目 ----
チャーシュー 作り方 簡単 | C 食 | チャーシュー,焼豚,豚バラ,煮豚,タレ
国内旅行 荷物 少なく する | A 旅 | 荷物,パッキング,バックパック,身軽
サウナ ロウリュ とは | A サウナ | ロウリュ,アウフグース,熱波,サウナ,蒸気

# ---- 6巡目 ----
A5 和牛 ステーキ 焼き方 | C 食 | ステーキ,和牛,サーロイン,焼き方,フライパン
鹿児島空港 市内 移動 | B 旅 | 鹿児島空港,バス,リムジン,市内,天文館
テントサウナ 初心者 | A サウナ | テントサウナ,アウトドア,川,薪,セルフ

# ---- 7巡目 ----
豚肉 冷凍 保存 期間 | C 食 | 豚肉,冷凍,保存,解凍,ラップ
屋久島 服装 持ち物 | B 旅 | 屋久島,服装,雨,トレッキング,登山
サウナ 体調 悪いとき | A サウナ | 体調,無理,休む,寝不足,二日酔い

# ---- 8巡目以降 ----
国産牛 もつ 下処理 | C 食 | もつ,下処理,臭み,下茹で,ホルモン
鹿児島 天文館 ランチ | B 旅 | 天文館,ランチ,鹿児島,定食,昼
もつ鍋 お取り寄せ 選び方 | C 食 | もつ鍋,お取り寄せ,通販,セット,冷凍
焼酎 飲み方 初心者 | B 食 | 焼酎,お湯割り,前割り,芋,飲み方
豚ミンチ 使い切り レシピ | C 食 | ミンチ,ひき肉,そぼろ,ハンバーグ
鹿児島 お土産 食べ物 | B 食 | 土産,鹿児島,かるかん,さつま揚げ,焼酎
すき焼き 作り方 関西風 | C 食 | すき焼き,割下,ロース,和牛,卵
お取り寄せ 肉 選び方 | C 食 | お取り寄せ,通販,肉,ギフト,冷凍便
白熊 かき氷 鹿児島 | B 食 | 白熊,しろくま,かき氷,天文館
